sid,memoryid,rankid,bankid,row,col,error_type,error_time
Server_1,10,1,13,3334,808,2,0001-06-14 06:40:59
Server_1,10,1,13,3334,808,2,0001-06-19 04:07:39
Server_1,10,1,13,3334,808,2,0001-06-26 00:32:58
Server_1,10,1,13,3334,808,2,0001-07-06 18:24:57
Server_1,10,1,13,3334,808,2,0001-07-07 17:54:17
Server_2,3,1,1,25338,1016,1,0001-01-17 09:56:21
Server_2,3,1,1,17033,1016,1,0001-01-17 14:05:26
Server_2,3,1,1,29573,1016,1,0001-01-17 19:25:33
Server_2,3,1,1,29575,1016,1,0001-01-17 19:33:45
Server_2,3,1,1,29576,1016,1,0001-01-17 20:51:17
